id,name
54076427,Saúde
54084225,Bolsonaro
54084225,Astrid Prange de Oliveira
54084820,Jair Bolsonaro
54085374,Jair Bolsonaro
54085374,Donald Trump
54085374,Boris Johnson
54085374,Todd Chapman
54085374,Mario Abdo Benítez
54085374,Alberto Fernández
54085374,Carlos Bolsonaro
54085374,Ad
54088294,René Descartes
54088535,Jair Bolsonaro
54088535,Ricardo José da Silva
54088535,Eduardo Pazuello
54088535,Messias
54088535,João Doria
54088535,Hélio Schwartsman
54088535,Oliver Stuenkel
54088535,Rafael
54088535,Mariana
54088535,Tatiana
54087202,Ricardo Salles
54087202,Jair Bolsonaro
54087202,Eduardo Bim
54087202,Márcio Astrini
54087202,Geraldo Alckmin
54089707,Maria Van Kerkhove
54089707,Benedetta Allegranzi
54089707,Tedros Adhanom Ghebreyesus
54090510,Donald Trump
54090510,Mary L.
54090510,Fred Jr.
54090510,John Bolton
54090510,Mary Trump
54090510,Maryanne Trump
54090510,Joe Shapiro
54090510,Sarah Matthews
54090510,Kayleigh McEnany
54090510,Fred Trump
54090510,Hillary
54090510,Clinton
54090510,Robert Trump
54095790,Angela Merkel
54096389,Atay
54096389,Mara Clarke
54096389,Regine Wlassitschau
54096389,Rebecca Gomperts
54096680,Jair Bolsonaro
54096680,Hélio Schwartsman
54096680,Paulo
54096680,Dilma Rousseff
54096680,Philipp Lichterbeck
54096971,Paulo
54096971,Jair Bolsonaro
54096971,Boris Johnson
54097080,Angela Merkel
54097080,Emmanuel Macron
54098190,Noam Chomsky
54098190,J. K.
54098190,Rowling
54098190,Margaret Atwood
54098190,Salman Rushdie
54098190,Roger Cohen
54098190,Wynton Marsalis
54098190,George Floyd
54098190,Donald Trump
54098190,James Bennet
54098190,Daniel Radcliffe
54098198,Edson Fachin
54098198,Luís Roberto Barroso
54099687,Franziska Giffey
54099687,Angela Merkel
54100612,Jair Bolsonaro
54100612,Flávio Bolsonaro
54100612,Eduardo Bolsonaro
54100612,Anderson Moraes
54100612,Alana Passos
54100612,Paulo
54100612,Tércio Arnaud Thomaz
54100612,Carlos Bolsonaro
54101201,Antonio Paulo Vogel
54101201,Alexandre Lopes
